city,state,lat,lon
ALBANY,VT,44.7491,-72.358
ALBANY,WI,42.732,-89.4446
ALBEMARLE,NC,35.3465,-80.2001
ALBERS,IL,38.5103,-89.6007
ALBERT,KS,38.4279,-98.9871
ALBERT,OK,35.2325,-98.4111
ALBERT CITY,IA,42.7562,-95.003
ALBERT LEA,MN,43.6807,-93.2889
ALBERTA,AL,32.1464,-87.3476
ALBERTA,MN,45.5421,-96.0558
ALBERTA,VA,36.8834,-77.9251
ALBERTON,MT,46.882,-114.5685
ALBERTSON,NC,35.0931,-77.8212
ALBERTSON,NY,40.7703,-73.6506
ALBERTVILLE,AL,34.2946,-86.2081
ALBERTVILLE,MN,45.2518,-93.6641
ALBIA,IA,41.0298,-92.8118
ALBIN,WY,41.4622,-104.2567
ALBION,CA,39.208,-123.68
ALBION,IA,42.1283,-93.0325
ALBION,ID,42.3808,-113.6129
ALBION,IL,38.3499,-88.0878
ALBION,IN,41.3598,-85.4275
ALBION,ME,44.5206,-69.4442
ALBION,MI,42.2941,-84.788
ALBION,NE,41.7602,-98.0632
ALBION,NY,43.2349,-78.2004
ALBION,OK,34.6518,-95.0923
ALBION,PA,41.8884,-80.3696
ALBION,RI,41.9514,-71.4551
ALBION,WA,46.7993,-117.257
ALBORN,MN,46.977,-92.6596
ALBRIGHT,WV,39.5535,-79.6564
ALBRIGHTSVILLE,PA,40.9709,-75.5626
ALBUQUERQUE,NM,35.0852,-106.6304
ALBURGH,VT,44.9285,-73.2733
ALBURNETT,IA,42.1635,-91.638
ALBURTIS,PA,40.482,-75.6424
ALCALDE,NM,36.0894,-105.9881
ALCESTER,SD,43.0039,-96.6101
ALCOA,TN,35.8006,-83.9846
ALCOLU,SC,33.7739,-80.1324
ALCOVA,WY,42.5357,-106.8815
ALCOVE,NY,42.4815,-73.9389
ALDA,NE,40.8437,-98.4442
ALDEN,IA,42.5068,-93.3993
ALDEN,IL,42.45,-88.53
ALDEN,KS,38.2388,-98.3165
ALDEN,MI,44.8695,-85.2192
ALDEN,MN,43.6327,-93.5686
ALDEN,NY,42.8997,-78.4935
ALDER,MT,45.0783,-112.1137
ALDER CREEK,NY,43.4262,-75.2162
ALDERPOINT,CA,40.1728,-123.6271
ALDERSON,OK,34.9084,-95.6789
ALDERSON,WV,37.7503,-80.6986
ALDIE,VA,38.9608,-77.6044
ALDRICH,MN,46.3796,-94.9293
ALDRICH,MO,37.5286,-93.5447
ALEDO,IL,41.1983,-90.7224
ALEDO,TX,32.6888,-97.6424
ALEKNAGIK,AK,59.3446,-158.7749
ALEPPO,PA,39.7954,-80.4664
ALEX,OK,34.9804,-97.7573
ALEXANDER,AR,34.659,-92.5487
ALEXANDER,IA,42.8117,-93.4591
ALEXANDER,IL,39.7453,-90.0553
ALEXANDER,KS,38.4513,-99.5295
ALEXANDER,NC,35.7065,-82.6508
ALEXANDER,ND,47.8612,-103.6392
ALEXANDER,NY,42.9175,-78.27
ALEXANDER CITY,AL,32.9202,-85.9322
ALEXANDRIA,AL,33.7694,-85.9039
ALEXANDRIA,IN,40.2391,-85.6738
ALEXANDRIA,KY,38.9158,-84.3864
ALEXANDRIA,LA,31.2842,-92.4484
ALEXANDRIA,MN,45.8933,-95.3971
ALEXANDRIA,MO,40.3266,-91.5146
ALEXANDRIA,NE,40.2742,-97.4254
ALEXANDRIA,OH,40.0885,-82.6124
ALEXANDRIA,PA,40.5525,-78.117
ALEXANDRIA,SD,43.6682,-97.7467
ALEXANDRIA,TN,36.0651,-85.9961
ALEXANDRIA,VA,38.7956,-77.0776
ALEXANDRIA BAY,NY,44.3153,-75.9309
ALEXIS,IL,41.0257,-90.5641
ALEXIS,NC,35.4051,-81.0899
ALFORD,FL,30.6465,-85.3891
ALFRED,ME,43.4963,-70.6863
ALFRED,NY,42.2538,-77.7906
ALFRED STATION,NY,42.2504,-77.7892
ALGER,MI,44.1453,-84.1939
ALGER,OH,40.679,-83.7957
ALGODONES,NM,35.3606,-106.3742
ALGOMA,MS,34.1766,-89.0324
ALGOMA,WI,44.6285,-87.472
ALGONA,IA,43.0712,-94.197
ALGONAC,MI,42.6352,-82.5825
ALGONQUIN,IL,42.1581,-88.3123
ALHAMBRA,CA,34.0898,-118.1301
ALHAMBRA,IL,38.881,-89.7396
ALICE,TX,27.7164,-98.0768
ALICEVILLE,AL,33.012,-88.1837
ALICIA,AR,35.9608,-91.0788
ALIEF,TX,29.7106,-95.5963
ALINE,OK,36.5066,-98.4978
ALIQUIPPA,PA,40.5891,-80.3266
ALISO VIEJO,CA,33.6215,-117.7759
ALIX,AR,35.3931,-93.7217
ALKOL,WV,38.1597,-81.9815
ALLAKAKET,AK,66.5344,-152.7203
ALLAMUCHY,NJ,40.9219,-74.8106
ALLARDT,TN,36.3845,-84.7323
ALLEDONIA,OH,39.8972,-80.9672
ALLEENE,AR,33.7915,-94.2265
ALLEGAN,MI,42.5277,-85.8591
ALLEGANY,NY,42.1097,-78.5355
ALLEGANY,OR,43.4266,-124.0316
ALLEGHANY,CA,39.4851,-120.8326
ALLEMAN,IA,41.7987,-93.6102
ALLEN,KS,38.6519,-96.1866
ALLEN,KY,37.6013,-82.7175
ALLEN,MD,38.2931,-75.6877
ALLEN,MI,41.9528,-84.7679
ALLEN,NE,42.438,-96.859
ALLEN,OK,34.8067,-96.5125
ALLEN,SD,43.2957,-101.902
ALLEN,TX,33.0987,-96.6512
ALLEN JUNCTION,WV,37.5894,-81.3506
ALLEN PARK,MI,42.262,-83.2081
ALLENDALE,IL,38.5177,-87.7307
ALLENDALE,MI,42.9792,-85.9383
ALLENDALE,MO,40.4858,-94.2885
ALLENDALE,NJ,41.0333,-74.1335
ALLENDALE,SC,33.0033,-81.3705
ALLENHURST,GA,31.756,-81.6052
ALLENHURST,NJ,40.2392,-74.0076
ALLENPORT,PA,40.0889,-79.862
ALLENSPARK,CO,40.2266,-105.5108
ALLENSVILLE,KY,36.7207,-87.0892
ALLENSVILLE,PA,40.5229,-77.857
ALLENTON,MI,42.9389,-82.9205
ALLENTON,MO,38.5,-90.67
ALLENTON,WI,43.4691,-88.3512
ALLENTOWN,GA,32.6826,-83.2444
ALLENTOWN,NJ,40.1397,-74.5484
ALLENTOWN,NY,42.0816,-78.0609
ALLENTOWN,PA,40.6016,-75.4985
ALLENWOOD,NJ,40.1433,-74.1033
ALLENWOOD,PA,41.1249,-77.0301
ALLERTON,IA,40.6671,-93.4035
ALLERTON,IL,39.9237,-87.9091
ALLEYTON,TX,29.7566,-96.4639
ALLGOOD,AL,33.9119,-86.5094
ALLIANCE,NC,35.1477,-76.8108
ALLIANCE,NE,42.2204,-103.1614
ALLIANCE,OH,40.9173,-81.1318
ALLIGATOR,MS,34.1111,-90.8181
ALLISON,IA,42.738,-92.7903
ALLISON,PA,39.9843,-79.8714
ALLISON,TX,35.642,-100.092
ALLISON PARK,PA,40.5764,-79.9506
ALLONS,TN,36.5133,-85.3568
ALLOUEZ,MI,47.3487,-88.3649
ALLOWAY,NJ,39.5566,-75.3602
ALLOY,WV,38.1309,-81.2605
ALLPORT,PA,40.9576,-78.1975
ALLRED,TN,36.3226,-85.2148
ALLSTON,MA,42.3576,-71.1289
ALLYN,WA,47.3621,-122.8718
ALMA,AR,35.4637,-94.1939
ALMA,CO,39.3073,-106.1051
ALMA,GA,31.55,-82.4622
ALMA,IL,38.7583,-88.9285
ALMA,KS,38.9746,-96.3165
ALMA,MI,43.3745,-84.6535
ALMA,MO,39.1163,-93.5496
ALMA,NE,40.1618,-99.3487
ALMA,NY,42.0227,-78.0391
ALMA,WI,44.3787,-91.7755
ALMA,WV,39.4238,-80.8306
ALMA CENTER,WI,44.4585,-90.956
ALMELUND,MN,45.52,-92.87
ALMENA,KS,39.8713,-99.6828
ALMENA,WI,45.4097,-92.0327
ALMIRA,WA,47.7256,-118.8792
ALMO,ID,42.0583,-113.6307
ALMO,KY,36.6971,-88.2822
ALMOND,NC,35.3839,-83.6374
ALMOND,NY,42.3198,-77.847
ALMOND,WI,44.2766,-89.3485
ALMONT,CO,38.8043,-106.6305
ALMONT,MI,42.9355,-83.044
ALMONT,ND,46.6942,-101.5187
ALMYRA,AR,34.3885,-91.3964
ALNA,ME,44.0871,-69.6297
ALPAUGH,CA,35.8694,-119.4982
ALPENA,AR,36.2879,-93.321
ALPENA,MI,45.0733,-83.4729
ALPENA,SD,44.1902,-98.3925
ALPHA,IL,41.1949,-90.372
ALPHA,KY,36.7846,-84.9933
ALPHA,MI,46.0467,-88.3774
ALPHA,MN,43.6385,-94.905
ALPHA,OH,39.7103,-84.0229
ALPHARETTA,GA,34.068,-84.262
ALPINE,AL,33.3452,-86.2657
ALPINE,AR,34.2287,-93.3776
ALPINE,AZ,33.8188,-109.2015
ALPINE,CA,32.8126,-116.7386
ALPINE,NJ,40.9596,-73.9188
ALPINE,NY,42.3625,-76.74
ALPINE,TN,36.3714,-85.1607
ALPINE,TX,30.194,-103.5927
ALPINE,UT,40.5075,-111.6998
ALPINE,WY,43.0622,-110.8116
ALPLAUS,NY,42.8586,-73.9021
ALSEA,OR,44.33,-123.6207
ALSEN,ND,48.6308,-98.6119
ALSEY,IL,39.5636,-90.4472
ALSIP,IL,41.671,-87.737
ALSTEAD,NH,43.1292,-72.3285
ALSTON,GA,32.0964,-82.5003
ALTA,CA,39.2476,-120.7476
ALTA,IA,42.6914,-95.309
ALTA,WY,43.7486,-110.936
ALTA VISTA,IA,43.1754,-92.4658
ALTA VISTA,KS,38.8547,-96.4555
ALTADENA,CA,34.193,-118.1329
ALTAIR,TX,29.5915,-96.4845
ALTAMAHAW,NC,36.1853,-79.5057
ALTAMONT,IL,39.0858,-88.7488
ALTAMONT,KS,37.1647,-95.3224
ALTAMONT,MO,39.9092,-94.0927
ALTAMONT,NY,42.6904,-74.0341
ALTAMONT,TN,35.449,-85.7839
ALTAMONT,UT,40.3969,-110.4676
ALTAMONTE SPRINGS,FL,28.6627,-81.3786
ALTAVILLE,CA,38.0757,-120.5524
ALTAVISTA,VA,37.1478,-79.2419
ALTENBURG,MO,37.592,-89.5708
ALTHA,FL,30.5171,-85.2046
ALTHEIMER,AR,34.2703,-91.7474
ALTMAR,NY,43.4985,-75.9769
ALTO,GA,34.4437,-83.5839
ALTO,MI,42.8224,-85.4071
ALTO,NM,33.4247,-105.6679
ALTO,TX,31.6477,-95.0887
